Title,Artist,BPM,Energy,Key,Danceability,Valence,Popularity,Acousticness,Length
Piano Man,Billy Joel,178,55,8B,33,43,87,61,5:39
Ordinary,Alex Warren,168,69,10B,37,39,91,70,3:06
Every Little Thing She Does Is Magic,The Police,82,77,10B,56,43,79,12,4:20
Fancy Like,Walker Hayes,80,77,3B,65,86,73,11,2:41
Message In A Bottle,The Police,151,81,12A,58,87,82,3,4:50
The Cave,Mumford & Sons,142,49,12B,58,34,74,6,3:37
Wagon Wheel,Darius Rucker,148,66,11B,54,58,85,46,4:58
Geronimo,Sheppard,142,78,9B,71,45,77,45,3:38
American Pie,Don McLean,138,48,9B,53,49,84,70,8:36
King Of Pain,The Police,124,73,11B,52,65,68,39,4:59
Don't Stop Believin' (2022 Remaster),Journey,119,75,12B,51,51,88,13,4:09
Dai Dai,Shakira,116,60,12A,86,63,96,14,3:43
Don't You (Forget About Me),Simple Minds,111,82,11B,66,68,81,17,4:23
Everybody Wants To Rule The World,Tears For Fears,112,80,10B,65,54,87,35,4:11
Run Together,Mumford & Sons,115,52,10B,42,29,64,20,3:39
BIRDS OF A FEATHER,Billie Eilish,105,51,10B,75,44,95,20,3:30
Dancing Queen,ABBA,101,87,11B,54,75,89,36,3:50
The Git Up,Blanco Brown,98,68,12B,85,81,72,7,3:20
Party In The U.S.A.,Miley Cyrus,96,70,2B,65,47,81,0,3:22
The Ketchup Song (Aserejé) - Spanglish Version,Las Ketchup,185,92,2A,61,87,73,2,3:33
Good Day To Have A Great Day,Russell Dickerson,92,83,11B,69,82,52,15,3:01
Africa,TOTO,93,37,12A,67,73,91,26,4:55
Maneater,Daryl Hall & John Oates,89,50,10A,72,82,87,4,4:33
Where Is The Love?,Black Eyed Peas,94,70,7B,83,81,86,11,4:32
Unwritten,Natasha Bedingfield,100,80,7B,71,63,90,1,4:19
Life is a Highway,Rascal Flatts,103,93,7B,56,56,79,0,4:35
The Banjo Song,Mumford & Sons,112,62,7B,64,35,66,25,3:49
Love Me Not,Ravyn Lenae,114,73,8B,78,81,92,30,3:33
Adventure of a Lifetime,Coldplay,112,92,8A,64,53,89,0,4:23
Come On Eileen,Dexys Midnight Runners,107,66,8A,45,78,83,66,4:47
JUMP (feat. Steve Vai & Travis Barker) - Coca-Cola Anthem for the FIFA World Cup 26™,J Balvin,130,72,8B,53,14,52,0,3:28
I Gotta Feeling,Black Eyed Peas,128,77,9B,74,61,82,9,4:49
Feel So Close - Radio Edit,Calvin Harris,128,92,9B,71,92,89,0,3:26
Opalite,Taylor Swift,125,82,9B,81,80,91,8,3:55
September,"Earth, Wind & Fire",126,83,11B,67,98,86,15,3:36
A Sky Full of Stars,Coldplay,125,68,2B,55,16,89,1,4:27
Stateside + Zara Larsson,PinkPantheress,123,66,3A,68,85,95,7,2:56
Walking On A Dream,Empire Of The Sun,127,70,5A,87,72,90,26,3:18
You Belong With Me,Taylor Swift,130,75,2B,69,44,81,18,3:52
Viva La Vida,Coldplay,138,62,4B,49,42,90,10,4:02
Don't Stand So Close To Me,The Police,140,51,7A,80,52,74,5,4:02
Toxic,Britney Spears,143,84,5A,77,92,89,2,3:18
Rosanna,TOTO,81,51,6A,37,74,79,2,5:31
Here (with Chris Stapleton),Mumford & Sons,156,58,6B,55,45,75,16,3:11
